date,time,src_ip,src_mac,domain,protocol,event_type
2026-06-05,09:10:00,192.168.1.25,AA:BB:CC:DD:EE:01,debian.org,DNS,Consulta permitida
2026-06-05,09:12:20,192.168.1.30,AA:BB:CC:DD:EE:02,python.org,DNS,Consulta permitida
2026-06-05,17:38:15,192.168.1.50,AA:BB:CC:DD:EE:FF,ejemplo-institucional.local,DNS,DNS_QUERY
2026-06-05,18:03:26,192.168.1.50,AA:BB:CC:DD:EE:FF,ejemplo-institucional.local,DNS,DNS_QUERY
2026-06-05,18:03:27,192.168.1.50,AA:BB:CC:DD:EE:FF,ejemplo-institucional.local,DNS,DNS_QUERY
2026-06-05,18:23:24,192.168.1.50,AA:BB:CC:DD:EE:FF,ejemplo-institucional.local,DNS,DNS_QUERY
2026-06-05,18:28:56,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:28:56,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:28:57,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:28:57,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:05,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:05,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:06,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:06,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:09,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:09,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:18,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:18,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:29:30,192.168.0.9,BC:03:58:DF:C2:0D,main.vscode-cdn.net,DNS,DNS_QUERY
2026-06-05,18:29:30,192.168.0.9,BC:03:58:DF:C2:0D,main.vscode-cdn.net,DNS,DNS_QUERY
2026-06-05,18:38:46,127.0.0.1,00:00:00:00:00:00,_ipp._tcp.local,DNS,DNS_QUERY
2026-06-05,18:38:46,127.0.0.1,00:00:00:00:00:00,_ipp._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:47,192.168.0.8,E2:16:CD:AB:BD:87,IzA0Wkn8n14AAA._FC9F5ED42C8A._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:47,,E2:16:CD:AB:BD:87,IzA0Wkn8n14AAA._FC9F5ED42C8A._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:47,,E2:16:CD:AB:BD:87,IzA0Wkn8n14AAA._FC9F5ED42C8A._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:47,192.168.0.8,E2:16:CD:AB:BD:87,IzA0Wkn8n14AAA._FC9F5ED42C8A._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:49,192.168.0.2,38:E7:C0:A8:FC:68,55in JVC Roku TV._airplay._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:49,,38:E7:C0:A8:FC:68,55in JVC Roku TV._airplay._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:49,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:49,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:50,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:50,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:53,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:53,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:56,192.168.0.7,6A:FC:70:13:0C:B1,_airplay-bds._tcp.local,DNS,DNS_QUERY
2026-06-05,18:50:56,,6A:FC:70:13:0C:B1,_airplay-bds._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:02,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:02,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:16,192.168.0.7,6A:FC:70:13:0C:B1,_airplay-bds._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:16,,6A:FC:70:13:0C:B1,_airplay-bds._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:17,192.168.0.7,6A:FC:70:13:0C:B1,_airplay-bds._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:17,,6A:FC:70:13:0C:B1,_airplay-bds._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:19,,6A:FC:70:13:0C:B1,lb._dns-sd._udp.local,DNS,DNS_QUERY
2026-06-05,18:51:19,192.168.0.7,6A:FC:70:13:0C:B1,lb._dns-sd._udp.local,DNS,DNS_QUERY
2026-06-05,18:51:20,192.168.0.7,6A:FC:70:13:0C:B1,lb._dns-sd._udp.local,DNS,DNS_QUERY
2026-06-05,18:51:20,,6A:FC:70:13:0C:B1,lb._dns-sd._udp.local,DNS,DNS_QUERY
2026-06-05,18:51:23,192.168.0.7,6A:FC:70:13:0C:B1,lb._dns-sd._udp.local,DNS,DNS_QUERY
2026-06-05,18:51:23,,6A:FC:70:13:0C:B1,lb._dns-sd._udp.local,DNS,DNS_QUERY
2026-06-05,18:51:29,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:51:29,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
