date,time,severity,src_ip,src_mac,dst_ip,risk_type,message,status
2026-06-05,09:15:00,EMERGENCY,192.168.1.90,DE:AD:BE:EF:00:10,185.220.101.45,IP en blacklist,Conexion simulada hacia IP peligrosa,Nueva
2026-06-05,09:17:30,WARNING,192.168.1.41,AA:BB:CC:00:00:41,203.0.113.66,Scanner remoto,Intento simulado de conexion con indicador de riesgo,En revision
2026-06-05,17:49:39,CRITICAL,192.168.1.200,DE:AD:BE:EF:00:02,8.8.8.8,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,17:49:39,EMERGENCY,192.168.1.25,AA:BB:CC:DD:EE:01,185.220.101.45,Botnet,IP peligrosa detectada: 185.220.101.45 | Fuente: Local Threat Feed | Descripcion: IP asociada a actividad maliciosa o infraestructura sospechosa,Nueva | Correo: Simulado
2026-06-05,18:00:05,EMERGENCY,192.168.1.25,AA:BB:CC:DD:EE:01,185.220.101.45,Botnet,IP peligrosa detectada: 185.220.101.45 | Severidad feed: EMERGENCY | Fuente: Local Threat Feed | Descripcion: IP asociada a actividad maliciosa o infraestructura sospechosa,Nueva | Correo: Simulado
2026-06-05,18:23:24,CRITICAL,192.168.1.200,DE:AD:BE:EF:00:02,8.8.8.8,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Revisada
2026-06-05,18:23:24,EMERGENCY,192.168.1.25,AA:BB:CC:DD:EE:01,185.220.101.45,Botnet,IP peligrosa detectada: 185.220.101.45 | Severidad feed: EMERGENCY | Fuente: Local Threat Feed | Descripcion: IP asociada a actividad maliciosa o infraestructura sospechosa,Nueva | Correo: Simulado
2026-06-05,18:23:24,CRITICAL,192.168.1.200,DE:AD:BE:EF:00:02,8.8.8.8,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,18:23:24,EMERGENCY,192.168.1.25,AA:BB:CC:DD:EE:01,185.220.101.45,Botnet,IP peligrosa detectada: 185.220.101.45 | Severidad feed: EMERGENCY | Fuente: Local Threat Feed | Descripcion: IP asociada a actividad maliciosa o infraestructura sospechosa,Nueva | Correo: Simulado
2026-06-05,18:26:13,CRITICAL,192.168.1.200,DE:AD:BE:EF:00:02,8.8.8.8,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,18:26:21,CRITICAL,192.168.1.200,DE:AD:BE:EF:00:02,8.8.8.8,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,18:26:29,EMERGENCY,192.168.1.25,AA:BB:CC:DD:EE:01,185.220.101.45,Botnet,IP peligrosa detectada: 185.220.101.45 | Severidad feed: EMERGENCY | Fuente: Local Threat Feed | Descripcion: IP asociada a actividad maliciosa o infraestructura sospechosa,Nueva | Correo: Simulado
2026-06-05,18:27:33,CRITICAL,172.64.148.235,90:9D:7D:75:62:D4,192.168.0.9,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,18:27:34,CRITICAL,192.168.0.9,BC:03:58:DF:C2:0D,172.64.148.235,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,18:27:37,CRITICAL,172.64.155.209,90:9D:7D:75:62:D4,192.168.0.9,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
2026-06-05,18:27:37,CRITICAL,104.18.39.21,90:9D:7D:75:62:D4,192.168.0.9,UNKNOWN_DEVICE,Equipo no autorizado detectado en la red,Nueva | Correo: Simulado
